Task-ID,Task,Sub-tasks,Assigned Team Member,Priority,StartDate,Deadline,,,
1,Venue setup,Security persons around the venue and CCTVs,,High,1/3/2024,1/10/2024,,,
1,Venue setup,Area dividing|Easy navigation,,High,1/3/2024,1/10/2024,,,
1,Venue setup,Organizing chairs|tables|laptops|internet and electricity ports for both mentors and participants,,High,1/3/2024,1/10/2024,,,
1,Venue setup,Registration area,,High,1/3/2024,1/10/2024,,,
2,Sponsor coordination,Managing sponsors through PR with weekly communication on updates,,Medium,12/31/2023,1/7/2024,,,
2,Sponsor coordination,Fulfilling Sponsors backlog,,Medium,1/1/2024,1/8/2024,,,
2,Sponsor coordination,Hearing a dedicated speech for Sponsor exposure,,Medium,1/2/2024,1/9/2024,,,
3,Workshop and Coding Sessions Setup,Designing workshop schedules|ensuring no overlaps,,High,1/5/2024,1/12/2024,,,
3,Workshop and Coding Sessions Setup,Arranging experienced mentors and speakers for sessions,,High,1/5/2024,1/12/2024,,,
3,Workshop and Coding Sessions Setup,Preparing presentation equipment such as projectors and screens,,Medium,1/7/2024,1/14/2024,,,
3,Workshop and Coding Sessions Setup,Ensuring availability of required software and tools,,Medium,1/7/2024,1/14/2024,,,
4,Participant Engagement,Planning activities to keep participants motivated during breaks,,Medium,1/8/2024,1/15/2024,,,
4,Participant Engagement,Distributing welcome kits with swag and hackathon guidelines,,Medium,1/8/2024,1/15/2024,,,
4,Participant Engagement,Setting up a support desk to address participant queries,,Medium,1/8/2024,1/15/2024,,,
